"ID","TEAM","SHA","CREATOR","TIME","MESSAGE"
"74","1","7b812a5c73043d39314763fe15bb87cf16f5f9b7","user4","1454379150","Corrected references"
"75","1","c461171c9c5e52c95ed745e7d84604e4d6536951","user4","1454321932","Added project propasal report"
"76","1","90d55b2a8edc990051da2e1cbf89ba257da562c2","user4","1454321675","Added project propasal report"
"77","1","42d69fae40c4c267e28fc494f712981d077e1bc9","user4","1453606063","Update README.md"
"78","1","e084b84f768378a88a3b6d607b0fb4b954e28853","user4","1453606018","Create README.md"
"79","2","5590088ab968f7864cda57ebdc82c64d9c556845","user1","1460088042","Added files via upload"
"80","2","10313b74a337b53bb3240480d0240a2660d50687","user1","1460087694","Added files via upload"
"81","2","fc9a350a77cf47911667fcd025761ded8d8fa5b7","user1","1460087545","Delete RestoScrapper_Apr1_Report.pdf"
"82","2","24abae9bf9d3edf3ff5157e15be0f3402975d8af","user1","1460087469","Added files via upload"
"83","2","160fe56107de648ed5322dfb9eda55eff192c55f","user1","1460056331","refactoring"
"84","2","c0c51aed3bc1a48db8e35bfb3e572b0e3ae8bd5c","user4","1460080127","report changes"
"85","2","5de93fa708802bfdbac2cb83311c2fce6e753e5d","user3","1460070427","Update README.md"
"86","2","5104b8769e4704a4fa633bfe91d4fb08bbf15fe7","user4","1460060247","Updated presentation link"
"87","2","19c3a0a8cc1f92c902d8d3e99253622b80f04995","user4","1460060134","presentation"
"88","2","7b85814ddf164ab41ad58859494c03540c3ff4d0","user2","1460059266","font changes"
"89","2","7c719346110495c9ded4b171ca8314e27d331d1d","user4","1460059121","Changes to the images in report"
"90","2","8d425bd25d961933f28bd2509d3dda8805406550","user4","1460055229","Added link to report"
"91","2","fc37dd06b3c33559438971117a45c4b365652c54","user4","1460055150","Added link to report"
"92","2","be7a46a71c30d317261d14da4daea553ebd7b341","user4","1460055127","Added link to report"
"93","2","351e1b896b738661efee17ae16acb56394b9cb6f","user4","1460054985","Project report april 1"
"94","2","97bcc2115a6230b874678dabc10681aea33e8a5f","user3","1460053726","Update README.md"
"95","2","47adecabf45f187ec193d4fa98552b8ded208136","user3","1460053120","Update README.md"
"96","2","c3b33626fb2797cf2bf0ca1d29cbafeca3dc5892","user3","1460048536","onclick for yelp tripA and foursq"
"97","2","d93259e018f3f44802b870de1749e2ed972f131a","user3","1460048314","layout and color change based on feedback"
"98","2","75b762a900d163fc15e8b9f9223960ea71323d93","user3","1460015493","modified code for time log"
"99","2","2e1ff22a4c13458be3c58d71eac87b3c528bb234","user2","1460015040","added stats display page"
"100","2","d41d87033146f65313fbe341a4bec6730412be6c","user3","1460014575","code for collecting user click logs per seesion"
"101","2","d2ccad6a70b9c41f3da62cafc09bcc277f12948a","user2","1460012904","stats for web"
"102","2","1f66e6a1e3a17f1bc2f0a8bfee2f6c05439e1398","user1","1460010517","fixed links in show page"
"103","2","92fd650250abe778f3646bb7964cbd196ec9044e","user1","1459961109","added Book Now Button"
"104","2","3d1315898921796cc2761aea1463dcef9e250ae6","user1","1459910899","added Book Now"
"105","2","42c8e4184a1b50fd568b879e2916bc1c57a7b190","user1","1459889322","added hyperlinks"
"106","2","93db4cda15c847bf2d6d247f991b5dfd55a1293e","user1","1459662005","changed the placement of the reviews"
"107","2","8604b2634f799e35f3294f015c412b27c7cb2cb2","user1","1459660882","added star ratings to individual reviews"
"108","2","1f35d62b7bd559b25f5958f37add2d53a713fad0","user1","1459660716","added negative reviews"
"109","2","ab289b54de28573d0a47e06bfad06d5612e2a400","user3","1459492607","book now implementation"
"110","2","07739c5310f13c142c703733090f9cac3dcd7781","user3","1459492376","layout changes in restaurant view"
"111","2","f3500041a224adf231cdbd37285d404244996caa","user2","1459490458","added restaurant url to schema closes #73"
"112","2","95fd0a10d93e1058a7c655c24cbe88d8f777c6c0","user3","1459488749","negative review implementation"
"113","2","29f8df4cdeb79be41e45c139e135ec44cbb649da","user4","1459483391","removed aws access key from the code"
"114","2","a7837ee3ff4dc97248b36a534f942930127cdc93","user4","1459468512","updated the restaurant url in json"
"115","2","39f03d957dd7926722be0cd4fdc7b99aa78c2f8f","user2","1459459013","Updated review controller to parse negative reviews from db closes #64"
"116","2","e46176e4eb534d61c0542217df0b61c9aee21df2","user2","1459458010","Added negative reviews to db schema closes #63"
"117","2","117ed9f6c1c188a28f03453bf6c18eb8a4dac6bd","user4","1459442114","updated json and code"
"118","2","9a1f041109f1005ec20a05bc6fad516be57a92bc","user4","1459441988","updated csv file"
"119","2","8e03ae862de19f7ecbce605294d667066ac27d27","user4","1459402927","code for parsing newgative reviews"
"120","2","bba1b3d1ddfb0f726f843b79202632960feac9c1","user4","1459402770","Merge branch 'master' of https://github.com/moharnab123saikia/CSC510-group-f"
"121","2","0b02b125b50cd6b0c154cb52a49a9c321547e8c3","user4","1459402731","updated the json with negative reviews"
"122","2","69d3f859147eb32a6040592e3d471972a0074784","user2","1459397743","added google map and bug fixed in chrome ext"
"123","2","86f60dc67e4d453535eef74bc2c0d760190b7bf9","user2","1456894146","removing sample.json from app home; temp file"
"124","2","b0cfae70d55a44091966e314eac80e147fe6fc91","user1","1456893559","fixed background alignment"
"125","2","37e2b069433699586dc98189fb56f499af477dd5","user1","1456892976","added total review count to display"
"126","2","408a831c2307ec4b2a3c7f3e631951cdd4236f44","user3","1456892808","Minor update in milestone"
"127","2","174f38dd67d1e35d4502f0ff0e534050c4b6d170","user1","1456891923","redesigned the search and display page; added reviews"
"128","2","424209a024acdd03929bf315b2457ac0abe63ea0","user4","1456885727","Update README.md"
"129","2","9c45d32708f0fc32b24d2eea0e99e569da50627b","user4","1456885636","Update README.md"
"130","2","1096b51ef14ea6f3239f38568caba6e377fcafa9","user4","1456885489","Update README.md"
"131","2","8e552ba73e2cd49bc68ba3b02005bc88a2083eca","user4","1456885078","Updated the evaluation plan in the read me file"
"132","2","13e4f0b9664d214e02571433e1ddeb741d7fb19a","user4","1456884354","Added the evaluation plan in the read me file"
"133","2","8cf6fa813f3a90b88c10fe881de6b822645afeba","user2","1456880389","added hyperlink to ratings"
"134","2","0577f02b783b1024e18f9b58ca6886295654ffb5","user3","1456879390","Updated Readme"
"135","2","5205156a8e53b31c4f62cb40e57fb50bae944a0b","user1","1456878978","added no. of reviews and changed styling"
"136","2","fbeddbe387356371a60a08ea2eccff2c16c93a18","user3","1456878815","Updated readme file with code base directory"
"137","2","c64e9d622ad6ac905e772b43f34100324b3cf1fa","user1","1456877771","sample telemetry data log for plugin"
"138","2","78db461698392a6c1f55004434de4ed1a029b66a","user4","1456877712","added telemetry sample files pdf"
"139","2","1ab35bf5e1fe9d99ec8b9d1aa404413d3c620a0d","user2","1456877523","sample log data for user overview"
"140","2","b122e5f3a96e4e044e0649e8710f086971867050","user3","1456877346","Adding sample log data from user trial"
"141","2","2e851bb940df5d161d9bcf0c75c098d8082e76da","user2","1456876577","added pagination to the list view of restaurants"
"142","2","8fbdd85bf07fa4599270e01ae620dafcaf103f60","user3","1456875201","""Updated readme file with logging information

Using google analytics information for log. As of now we don't have much statistics as deployment has been just done but going forward we will have large logs"""
"208","2","dce61af04ceeebca2281cbf27c7f2cc20ee7ec62","user2","1456090944","added foursquare links"
"209","2","5c22dbd24b564301a76899e3b8e5065702e508f4","user1","1455907302","added manifest"
"210","2","2ba1f03e6b0f3d06dea17837bc2999e3a7ffa9a9","user4","1455846378","Rename sample_json.txt to samples/sample_json.txt"
"211","2","514fe3a82cf2835c57b030235ed8ce357ed98356","user4","1455829641","""Sample JSON

Sample text file containing the JSON format for storing the reviews"""
"212","2","d88c5018d1efe4d3fadb3eb1f269b267739caa43","user1","1455828792","Update README.md"
"213","2","18d14d43f40bcdd3d3bbc355b43417f59fc138d5","user1","1455828726","Update README.md"
"214","2","24c666bc9de3f7db3226e7d459ca10e93f9445a5","user2","1455828404","sample csv file for review URL from different websites closes #12"
"215","2","9f06be6c21e8ce695ee211d30fb0434716e4ac99","user4","1454601396","""Update README.md

Contents for Mar 1 deliverable"""
"216","2","5979257304bc3150989c7e232bcc3f577d5183ec","user3","1454365734","Merge branch 'master' of https://github.com/moharnab123saikia/CSC510-group-f"
"217","2","9ceecefce30b2dac2b212769d250976ed1913c5b","user3","1454365648","Updated feb1 report"
"218","2","475544226f5416db91d0ee486b38a4b77d7f5bb6","user1","1454365071","Update README.md"
"219","2","fdd6b65204a29335c235a46684db14ca7b2783f6","user3","1454364998","Update README.md"
"220","2","86004ee0f914a277890a7453bcea87dd08d7b20f","user3","1454364983","""Updated Readme.md

Added the project description"""
"221","2","1ebcc523d505b522773696fb16dbfddcf9027ed8","user3","1454320124","Report for Feb1 Deliverable"
"222","2","323b1b81e9b637c2f7e94c896b7e9c52ddd16fcc","user2","1452293386","Initial commit : created README.md"
"223","3","905294c93efd14fd77b785fed415bde051d52341","user2","1461267422","Added files via upload"
"224","3","c5c4f56d644e9b9cc8011a6daad5eca59269a7f6","user2","1461267407","Delete Slides.pdf"
"225","3","ce078134b750c724b8b475bc09aa410683753e3c","user2","1461266499","Added files via upload"
"226","3","32e8fc1ea60e2626e3f8c02937a0521c4b9d7169","user2","1461266427","Delete Slides.pdf"
"227","3","691e5611866df148e4eaa5fdd10f5f73836722fc","user2","1461216833","Update README.md"
"228","3","be108a5704b15ad343605b94ed43e19f92a70356","user2","1461216790","Slides and Report"
"229","3","edaa3e5d9f5642a45220bb6d21494abfa923e5b5","user2","1461216758","Delete SlidePack.pptx"
"230","3","b40ca2fac5f9d5d5c116215ec7d69dd652889387","user1","1461115813","deleted slides.pdf"
"231","3","3488189b61e8172afbe16e91bde69e4c1e624220","user1","1461115723","Removed slide and upadted readme"
"232","3","71bed957a2e4841faa9d1e62969703d68a5c4cf6","user1","1461115366","added slides"
"233","3","eae55f0e409166a00394e9027b3375615e688dc7","user2","1460088046","Update ReadMemd"
"234","3","b535664b9cd038940d232fb83feda18d4e02fb7d","user2","1460087939","Slides and Report"
"235","3","3e59273e60d89533c4fd80560f323c450d8cf703","user3","1460060166","Delete dummy application"
"236","3","b9b0090abb08bc9fc09ca5f650c462bd255eed22","user3","1460059993","add a folder for final presentation"
"237","3","7528552ee84ed42d1eae0b859b62558677e683b6","user3","1460059505","add final report"
"238","3","6b428a7bb0839617cdd14b949b72bba0b041fa11","user3","1460059368","add final report"
"239","3","f75a40a6f7858d81a0948be8a0c2ffb1cdee366c","user3","1460059029","remove dummy application"
"240","3","4622c7671b28a7ddd31e98b35cc8d93a0d4d6f1f","user3","1457473492","merge nraina"
"241","3","2dc41bbad0f8ee6faba9f9dc2db5133b5983b26a","user3","1457472799","bug fixes"
"242","3","69823b840d799a6a09fc02973b97e7476aa1ad3c","user2","1457110141","""Merge pull request #53 from nikraina/kagarwa

Updated parking lot tables for Soln 3 with logs"""
"243","3","400d39d31122e97e24178da2fc0e6456d92d963a","user2","1457110048","Updated parking lot tables for Soln 3 with logs"
"244","3","26801dfbb70236b392cb6c73d61972569e19f156","user2","1457108485","""Merge pull request #52 from nikraina/kagarwa

Updated the parking lot tables for the 3 solution"""
"245","3","9be0a45d615a590e264c9c21dd989ed6682f45ca","user2","1457108379","Updated the parking lot tables for the 3 solution"
"246","3","5d0c8c04b21d195a92e829c85897d34ee664e8a2","user2","1457068459","""Merge pull request #51 from nikraina/kagarwa

Added Telemetry to 3 apps"""
"247","3","904ba3f4f38fe4fe8404a0c7877fc1287fd63040","user2","1457068116","Added Telemetry to 3 apps"
"248","3","e97d07abdd4a7525c47429787c2bbf89ba38a6cb","user3","1457046968","telemetry addition using google analytics"
"249","3","fe447a7d693cd5a6e7a7a631a0dab17086d9d50e","user3","1457034221","unfortunately stopped error fixed"
"250","3","12f37af24368137171d7322d056b87d44617e7f8","user1","1456979518","fixed .idea"
"251","3","e41e582db7859647c043b5928059d60fef85656a","user1","1456965470","distance method"
"252","3","dcf849119b3bdbb1fc8c4a77467547c880e7caeb","user1","1456965131","Merge branch 'ahmad'"
"253","3","b4060dc4419953d2e7b3943d295054bbcc0d6b1c","user1","1456965110","Function for distance started"
"254","3","0043f8df6a9e6004e664a676622f0dfd5bb0c194","user4","1456963758","Added Old files"
"255","3","1f1f4c30248ffe5e75aa334777db76aad3dfb029","user4","1456963701","Added Map FIles"
"256","3","67149399a532c564686f55958e53c35b3750100d","user4","1456962692","Added the map files"
"257","3","a3683d7e5d167e81b03c62b2e9be620f0f30eaab","user4","1456962529","Added About page and Selection screen"
"258","3","a5844b34dbcd3d7fa5a7bbfa436555f8220fffe6","user4","1456962490","Removed unneeded file"
"259","3","f0487a2c7f6948d96d188d4dbd2e41a679cd28c3","user4","1456962182","Merge"
"260","3","bad0b71e122b2f1492a40e5e0c3efe8edcfedb29","user4","1456961943","Merge"
"261","3","0d48b72cb6992cb0816f97e670c77d8c723e7d6c","user4","1456961714","merge"
"262","3","8fb79951fdade755b261e81b3b92c211d3a4caeb","user4","1456961446","merge"
"263","3","cbe740de8d00147a76156dae2839d5a42061dbc9","user2","1456935545","commit"
"264","3","34b720f6a8ddb03d029746c5fbb6287ebde9c1e1","user2","1456935265","commit"
"265","3","5a7e8f432e61641a78b34e1bd99ee7c15b220605","user1","1456930466","Updated Readme"
"266","3","896c22baa2f3ffecc4c23fca94bcab2a9912cf96","user1","1456888840","more lots added"
"267","3","122d2e987f55fd5b4793b0806b3f3dd274f49290","user1","1456886625","removed stray marker"
"268","3","8e9ec408b61b0fc57a8de459c8d9848156fd2dd2","user1","1456885927","All info windows added"
"269","3","bdefda3fa3a40b8f235839ac97e3e70a12b25020","user1","1456884977","Info Window added"
"270","3","4f2c1375a1b45937df744da8834001ce4a0cfb9e","user1","1456809377","Fixed minor bugs"
"271","3","509f94d780079a2452b30373ce8456c638202309","user1","1456808829","More parking lots added"
"272","3","7269af04d95b1a061a5253c961b3a926826ebdb9","user1","1456808120","Added Capability drive"
"273","3","e736a47022e0f5f79c5eaea3041121b2541ad573","user1","1456799449","adding infoWindow"
"274","3","e770198d1118ff154698278b8a14f3e11dc61bf5","user1","1456797357","marker listerner"
"275","3","4dcf85e5cf2e88a31576cdcb0bd2aaf3c88495bf","user1","1456794513","Started work on MarkerListner"
"276","3","f23ef71773c97a1a21267160d78b178e2f5588e0","user4","1456642346","Added about and selection screen"
"277","3","e630fdf8b8389a205e3c351673bef1ee839d8785","user4","1456631301","Added About Page"
"278","3","4c6f3a0276eb2661be30884926ee32129cdb3d98","user4","1456628777","changed text"
"279","3","e0f45a76e20f06c0def3182487146b62de7ea7ac","user4","1456627254","Fixed small bugs"
"280","3","ba0ba012321fa8867374cc5e51bf0c0c0fb1f053","user4","1456626420","merge"
"281","3","319e1d8b04c43624b0ecb7e7c3a098f51d48447e","user4","1456626347","changed text"
"282","3","84cd02372dc9c7ac38c027612cf26ebb7603e589","user4","1456625103","removed comment"
"283","3","a2edd3d4fc77e1aa610c92c2ec859020bb99fc78","user4","1456624996","changed in my branch"
"284","3","ebc700aeacf1b2f69472b65d9114a39ddf1c20d1","user4","1456624776","Merge"
"285","3","bb8c40182640b02172ea5ecff234acb410916325","user4","1456624697","Added comment"
"286","3","a37cb4778abecbf09a35ef076b8d32af794ebc3d","user3","1456533322","git cleanup"
"287","3","497b49dad3ccaf2456320480e911c06d64416b45","user3","1456533247","git cleanup"
"288","3","5c5ae2211a3fe76903f01a71783530927d965812","user3","1456532692","repo cleanup"
"289","3","459d3f9f398df4208b77919700076d592dfc3b6c","user4","1456532003","Changed comment"
"290","3","c667c2be3cbe7ced4f18db548da540affc4c1282","user3","1456531436","user authentication & signup"
"291","3","0cc36b9f9d514dddcdfe6a16c2417555036e1112","user3","1456383560","on click listnere added"
"292","3","9a799e3a195fd9ed07a132748fc2feb597aa0549","user3","1456382599","""add bluce circle, marker fixes"""
"293","3","ae476277d305d1822cb7e3fcd8c97965cca372f3","user3","1456377739","added parking markers"
"294","3","6b2ae72ef5d52bbafc11d87abda0bce8797165de","user2","1456347270","""Merge pull request #31 from nikraina/kagarwa

App Name Updated"""
"295","3","c4b869c77964b0e44b84783d1173c47ade6d90c9","user2","1456347009","App Name Updated"
"296","3","f67f7c3464b82bbbfeae6d5d4e2a5ff7fc9e1fa0","user2","1456278797","""Merge pull request #30 from nikraina/kagarwa

Launcher Icon Changed"""
"297","3","d039d2e15a977c46d83842bbbcae4bdf7681458d","user2","1456278615","Launcher Icon Changed"
"298","3","3a694fd07414da840800a191a036a21d3f8fc10b","user2","1456278409","""Merge pull request #28 from nikraina/kagarwa

Map Marker Added"""
"299","3","a89f39bdd94deff4eec6b129429825ae1a361de2","user2","1456278342","Map Marker Added"
"300","3","3451f6ab46f7ece87a38748dfb75af00fba5ace8","user4","1456254714","adding a test file"
"301","3","8e0c109befb30c781c3679a9c1d0ab4788165d4c","user2","1456236628","""Merge pull request #26 from nikraina/kagarwa

Location Listener Feature Added"""
"302","3","127786381f11d0d21932d544621774bac53b7480","user2","1456236580","Location Listener Feature Added"
"303","3","74028df3c0f9a7287d3f55533929905551b9d2b2","user2","1456235316","""Merge pull request #24 from nikraina/kagarwa

User Current Location added to be set programatically"""
"304","3","09079361e81a14be5bc0303092a9098877b0bb8b","user2","1456235260","User Current Location added to be set programatically"
"305","3","3caf668e00b748c0c4dbba4904b4d212e5c24cf3","user2","1456231911","""Merge pull request #22 from nikraina/kagarwa

User Current Location Feature Added"""
"306","3","489017b4fecaf557712e1def8104004b07aa9697","user2","1456231874","User Current Location Feature Added"
